uid.x,namedLocation,domainID,siteID,plotID,nrcsDescriptionID.x,collectDate.x,horizonID,horizonName,analysisStartDate,biogeoIDnrcs.x,biogeoSampleType.x,biogeoTopDepth.x,biogeoBottomDepth.x,biogeoCenterDepth.x,airDryOvenDryRatio,gypsumConc,caco3Conc,caNh4d,kNh4d,mgNh4d,naNh4d,cecdNh4,alSatCecd33,baseSumCecd10,bsesatCecd10,ececCecd33,alKcl,feKcl,mnKcl,phCacl2,phH2o,ec12pre,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,resist,so4Satx,carbonTot,nitrogenTot,ctonRatio,estimatedOC,sulfurTot,alOxalate,feOxalate,mnOxalate,pOxalate,siOxalate,optDensityOxalate,alCitDithionate,feCitDithionate,mnCitDithionate,siliconCitrateDithionate,acidity,waterRetention15Bar,MehlichIIITotP,Bray1PExtractable,OlsenPExtractable,processingRemarks,laboratoryName.x,dataQF.x,uid.y,nrcsDescriptionID.y,collectDate.y,bulkDensProcessedDate,bulkDensMethodPub,bulkDensMethod,bulkDensIDnrcs,bulkDensSampleType,bulkDensCenterDepth,bulkDensTopDepth,bulkDensBottomDepth,bulkDensThirdBar,bulkDensOvenDry,bulkDensFieldMoist,waterRetentionThirdBar,fieldWaterContent,laboratoryName.y,remarks,dataQF.y,uid,nrcsDescriptionID,collectDate,biogeoIDnrcs.y,biogeoSampleType.y,biogeoTopDepth.y,biogeoBottomDepth.y,biogeoCenterDepth.y,particleSizeDistProcessedDate,particleSizeDistMethodPub,particleSizeDistMethod,coarseFrag2To5,coarseFrag5To20,sandTotal,siltTotal,clayTotal,carbonateClay,clayFineContent,siltFineContent,siltCoarseContent,sandVeryFineContent,sandFineContent,sandMediumContent,sandCoarseContent,laboratoryName,dataQF
a351c317-17dd-4619-b405-2fd32aaa301c,MOAB_011.basePlot.all,D13,MOAB,MOAB_011,S2016UT037002,2016-04-16,16N03675,Bk,2016-06-29,S2016UT037002-3,bulk,35,49,42,1.012,NA,110,52.2,0.1,2,0,5.6,NA,54.3,100,NA,NA,NA,NA,7.8,8.4,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1,0.4,6,2,0,0.03,0,74.8,24.3,0.01,0,0,0.3,0,NA,NA,NA,NA,NA,0.9,NA,USDA NRCS Kellogg Soil Survey Laboratory,NA,36700d80-4301-4173-bbaf-b2d733f048ec,S2016UT037002,2016-04-16,2017-03-02,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Clods (3B1)",S2016UT037002-3,clod,42,35,49,1.68,1.72,NA,12.3,NA,USDA NRCS Kellogg Soil Survey Laboratory,NA,NA,1bbfea9a-b16e-4d4e-a062-18f939b2dfb8,S2016UT037002,2016-04-16,S2016UT037002-3,bulk,35,49,42,2016-08-22,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine Particle Size Distribution (3A1a1a),82.3,76.7,70.9,16.8,12.3,2.9,NA,8,8.8,35.5,29.2,5,0.8,USDA NRCS Kellogg Soil Survey Laboratory,NA
04bd172a-751e-40d7-ae6f-21c4bddf5c7c,MOAB_011.basePlot.all,D13,MOAB,MOAB_011,S2016UT037002,2016-04-16,16N03677,BCkk,2016-06-29,S2016UT037002-5,bulk,68,100,84,1.01,NA,580,49.3,0,2.4,0,2.2,NA,51.7,100,NA,NA,NA,NA,7.9,8.6,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.3,0.5,4,2,0.1,0,0,1,0,0,0.01,0,0.1,0,NA,NA,NA,NA,NA,1.6,NA,USDA NRCS Kellogg Soil Survey Laboratory,NA,a5af8c75-d783-4501-830a-45e77637beec,S2016UT037002,2016-04-16,2017-03-02,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Clods (3B1)",S2016UT037002-5,clod,84,68,100,1.34,1.34,NA,18.5,NA,USDA NRCS Kellogg Soil Survey Laboratory,NA,NA,9cf47e40-690f-4625-86d2-e4e4e3419397,S2016UT037002,2016-04-16,S2016UT037002-5,bulk,68,100,84,2016-09-13,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine Particle Size Distribution (3A1a1a),40.9,37,58.6,15.9,25.5,22.7,NA,10.2,5.7,17.7,20.5,8.2,7,USDA NRCS Kellogg Soil Survey Laboratory,NA
55bd237e-1f98-41a4-bc43-20c149041812,MOAB_011.basePlot.all,D13,MOAB,MOAB_011,S2016UT037002,2016-04-16,16N03673,A,2016-06-29,S2016UT037002-1,bulk,0,10,5,1.014,NA,10,15.8,0.4,1.7,0,8.3,NA,17.9,100,NA,NA,NA,NA,7.6,8.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,0.3,12,4,0,0.05,0,189.2,57.8,0.02,0.01,0,0.2,0,NA,NA,NA,NA,NA,5.7,NA,USDA NRCS Kellogg Soil Survey Laboratory,NA,378ae435-a395-49eb-afc7-7178dee67873,S2016UT037002,2016-04-16,2016-08-31,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Compliant Cavity (3B3)",S2016UT037002-1,compliant cavity,5,0,10,NA,NA,1.63,NA,2.6,USDA NRCS Kellogg Soil Survey Laboratory,NA,NA,351ea4aa-7b90-4458-a157-9174a9346eb8,S2016UT037002,2016-04-16,S2016UT037002-1,bulk,0,10,5,2016-08-22,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine Particle Size Distribution (3A1a1a),9.3,28.1,71.9,17.8,10.3,0,NA,7.1,10.7,37.9,29.1,4.3,0.5,USDA NRCS Kellogg Soil Survey Laboratory,NA
d86ce0d1-514c-4fad-8837-1a8d682aab71,MOAB_011.basePlot.all,D13,MOAB,MOAB_011,S2016UT037002,2016-04-16,16N03674,Bw,2016-06-29,S2016UT037002-2,bulk,10,35,22.5,1.016,NA,40,52.2,0.3,2,0,7.7,NA,54.5,100,NA,NA,NA,NA,7.8,8.3,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,0.4,10,4,0,0.04,0,143.7,30.6,0.01,0.01,0,0.4,0,NA,NA,NA,NA,NA,1,NA,USDA NRCS Kellogg Soil Survey Laboratory,NA,2dbb3783-4816-49c3-8ec3-54bb53ba3e12,S2016UT037002,2016-04-16,2017-03-02,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Clods (3B1)",S2016UT037002-2,clod,22.5,10,35,1.48,1.52,NA,9.2,NA,USDA NRCS Kellogg Soil Survey Laboratory,NA,NA,4cca58cd-3299-4c3b-be6b-98ae0804d1b4,S2016UT037002,2016-04-16,S2016UT037002-2,bulk,10,35,22.5,2016-08-22,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine Particle Size Distribution (3A1a1a),13.9,39.4,69,20,11,0,NA,7.7,12.3,35.9,27.4,5,0.5,USDA NRCS Kellogg Soil Survey Laboratory,NA
8f128995-c1ce-4d8b-9c0f-4365378048f4,MOAB_011.basePlot.all,D13,MOAB,MOAB_011,S2016UT037002,2016-04-16,16N03676,Bkk,2016-06-29,S2016UT037002-4,bulk,49,68,58.5,1.011,NA,480,51.8,0,2,0,3.5,NA,53.8,100,NA,NA,NA,NA,7.8,8.5,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.8,0.5,3,1,0.2,0.01,0,13,0,0,0.01,0,0.1,0,NA,NA,NA,NA,NA,2.4,NA,USDA NRCS Kellogg Soil Survey Laboratory,NA,2af580fa-db1a-4313-9033-056399c95e7d,S2016UT037002,2016-04-16,2017-06-02,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Clods (3B1)",S2016UT037002-4,clod,58.5,49,68,1.64,1.66,NA,12.8,NA,USDA NRCS Kellogg Soil Survey Laboratory,NA,NA,7aae9ad8-ec2e-4431-97d9-f1f690daa2dd,S2016UT037002,2016-04-16,S2016UT037002-4,bulk,49,68,58.5,2016-09-13,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine Particle Size Distribution (3A1a1a),90.1,74.2,65.7,15.7,18.6,14.1,NA,8.7,7,24.1,25.1,8.2,5,USDA NRCS Kellogg Soil Survey Laboratory,NA
eaa2da82-11a4-4350-84ae-386b97d92091,MOAB_006.basePlot.all,D13,MOAB,MOAB_006,S2016UT037003,2016-04-26,16N03682,Bk,2016-06-29,S2016UT037003-5,bulk,76,96,86,1.006,NA,280,47,0,5.4,0,1.5,NA,52.4,100,NA,NA,NA,NA,8,8.9,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.8,0.2,2,0,0,0,0,25.8,0,0,0,0,0.2,0,NA,NA,NA,NA,NA,0.3,NA,USDA NRCS Kellogg Soil Survey Laboratory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e042cea-003f-4bd5-8119-962f10ab2755,S2016UT037003,2016-04-26,S2016UT037003-5,bulk,76,96,86,2016-09-13,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine Particle Size Distribution (3A1a1a),32.1,82.8,75.8,14.8,9.4,5.9,NA,8.6,6.2,38.9,24.3,7.7,3.2,USDA NRCS Kellogg Soil Survey Laboratory,NA
f448fd66-5e2c-4f37-8716-03e1b4edc493,MOAB_006.basePlot.all,D13,MOAB,MOAB_006,S2016UT037003,2016-04-26,16N03678,A,2016-06-29,S2016UT037003-1,bulk,0,10,5,1.006,NA,10,9.7,0.2,1.6,0,3.4,NA,11.5,100,NA,NA,NA,NA,7.6,8.2,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,0.4,6,2,0,0.02,0,107.4,44.6,0,0,0,0.2,0,NA,NA,NA,NA,NA,4.3,NA,USDA NRCS Kellogg Soil Survey Laboratory,NA,5a5bc0ea-b4c0-405d-9e76-fb419a63540c,S2016UT037003,2016-04-26,2017-06-02,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Clods (3B1)",S2016UT037003-1,clod,5,0,10,1.55,1.58,NA,9.1,NA,USDA NRCS Kellogg Soil Survey Laboratory,NA,NA,4d04a214-f29c-4fcc-b310-2e8145f18e04,S2016UT037003,2016-04-26,S2016UT037003-1,bulk,0,10,5,2016-09-13,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine Particle Size Distribution (3A1a1a),2.9,6.6,88.8,5.1,6.1,1.2,NA,1.5,3.6,58.4,29.1,1.1,0.1,USDA NRCS Kellogg Soil Survey Laboratory,NA
b57246af-bde3-4917-9dee-050d540e0648,MOAB_006.basePlot.all,D13,MOAB,MOAB_006,S2016UT037003,2016-04-26,16N03681,Bt2,2016-06-29,S2016UT037003-4,bulk,59,76,67.5,1.009,NA,350,49.5,0.1,3.2,0,2.6,NA,52.8,100,NA,NA,NA,NA,7.9,8.6,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.5,0.4,4,2,0.1,0.01,0,30,11,0,0.01,0,0.2,0,NA,NA,NA,NA,NA,0.7,NA,USDA NRCS Kellogg Soil Survey Laboratory,NA,b621ee9a-1bdf-4710-87ac-ef2c70d90ad9,S2016UT037003,2016-04-26,2017-03-07,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Clods (3B1)",S2016UT037003-4,clod,67.5,59,76,1.67,1.69,NA,10.8,NA,USDA NRCS Kellogg Soil Survey Laboratory,NA,NA,dc423514-a450-41ea-aaa2-7dabac8cfef9,S2016UT037003,2016-04-26,S2016UT037003-4,bulk,59,76,67.5,2016-09-13,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine Particle Size Distribution (3A1a1a),49.8,142.4,67.7,16.1,16.2,11.5,NA,9.5,6.6,30.7,22.7,6.1,3.7,USDA NRCS Kellogg Soil Survey Laboratory,NA
d6e79fe7-359a-4452-9f2b-7b2256dc091a,MOAB_015.basePlot.all,D13,MOAB,MOAB_015,S2016UT037001,2016-04-26,16N03669,A,2016-06-29,S2016UT037001-1,bulk,0,5,2.5,1.011,NA,0,7.7,0.3,2.5,0,6,NA,10.5,100,NA,NA,NA,NA,7.4,7.9,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,0.4,7,3,0,0.04,0,229.6,71.8,0.01,0.01,0,0.3,0,NA,NA,NA,NA,NA,5,NA,USDA NRCS Kellogg Soil Survey Laboratory,NA,fc822b48-93da-401b-ad14-f10384f74b9d,S2016UT037001,2016-04-26,2016-08-31,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Compliant Cavity (3B3)",S2016UT037001-1,compliant cavity,2.5,0,5,NA,NA,1.51,NA,1.8,USDA NRCS Kellogg Soil Survey Laboratory,NA,NA,d9d5d037-8283-41db-943b-78d8393f5cb7,S2016UT037001,2016-04-26,S2016UT037001-1,bulk,0,5,2.5,2016-08-22,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine Particle Size Distribution (3A1a1a),2.1,1,76.4,16.1,7.5,0,NA,6.3,9.8,52.9,21.4,1.8,0.2,USDA NRCS Kellogg Soil Survey Laboratory,NA
edd9e74c-aca3-4f73-8590-bb600f908b1d,MOAB_015.basePlot.all,D13,MOAB,MOAB_015,S2016UT037001,2016-04-26,16N03670,Bt1,2016-06-29,S2016UT037001-2,bulk,5,32,18.5,1.016,NA,20,41.7,0.3,3.4,0,7.3,NA,45.4,100,NA,NA,NA,NA,7.8,8.4,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,0.3,7,2,0,0.05,0,312.2,37.9,0.02,0,0,0.4,0,NA,NA,NA,NA,NA,0.6,NA,USDA NRCS Kellogg Soil Survey Laboratory,NA,967c5568-1504-4e8a-9bbb-b8ae15002cbb,S2016UT037001,2016-04-26,2017-03-02,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014","Bulk Density, Clods (3B1)",S2016UT037001-2,clod,18.5,5,32,1.54,1.58,NA,13.5,NA,USDA NRCS Kellogg Soil Survey Laboratory,NA,NA,952ef521-c2d2-42f2-bdfc-d913ccd81d85,S2016UT037001,2016-04-26,S2016UT037001-2,bulk,5,32,18.5,2016-08-22,"Kellogg Soil Survey Laboratory Methods Manual, Soil Survey Investigations Report No. 42 Version 5.0, Issued 2014",Routine Particle Size Distribution (3A1a1a),0,2,67.7,18.4,13.9,0,NA,8,10.4,47,19.3,1.3,0.1,USDA NRCS Kellogg Soil Survey Laboratory,NA
