plotID,collectDate,horizonName,variable,value
MOAB_011,2016-04-16,Bk,biogeoTopDepth,35
MOAB_011,2016-04-16,Bk,biogeoBottomDepth,49
MOAB_011,2016-04-16,Bk,biogeoCenterDepth,42
MOAB_011,2016-04-16,Bk,airDryOvenDryRatio,1.012
MOAB_011,2016-04-16,Bk,gypsumConc,NA
MOAB_011,2016-04-16,Bk,caco3Conc,110
MOAB_011,2016-04-16,Bk,caNh4d,52.2
MOAB_011,2016-04-16,Bk,kNh4d,0.1
MOAB_011,2016-04-16,Bk,mgNh4d,2
MOAB_011,2016-04-16,Bk,naNh4d,0
MOAB_011,2016-04-16,Bk,cecdNh4,5.6
MOAB_011,2016-04-16,Bk,alSatCecd33,NA
MOAB_011,2016-04-16,Bk,baseSumCecd10,54.3
MOAB_011,2016-04-16,Bk,bsesatCecd10,100
MOAB_011,2016-04-16,Bk,ececCecd33,NA
MOAB_011,2016-04-16,Bk,alKcl,NA
MOAB_011,2016-04-16,Bk,feKcl,NA
MOAB_011,2016-04-16,Bk,mnKcl,NA
MOAB_011,2016-04-16,Bk,phCacl2,7.8
MOAB_011,2016-04-16,Bk,phH2o,8.4
MOAB_011,2016-04-16,Bk,ec12pre,0.12
MOAB_011,2016-04-16,Bk,bSatx,NA
MOAB_011,2016-04-16,Bk,brSatx,NA
MOAB_011,2016-04-16,Bk,caSatx,NA
MOAB_011,2016-04-16,Bk,clSatx,NA
MOAB_011,2016-04-16,Bk,co3Satx,NA
MOAB_011,2016-04-16,Bk,ecSatp,NA
MOAB_011,2016-04-16,Bk,flSatx,NA
MOAB_011,2016-04-16,Bk,waterSatx,NA
MOAB_011,2016-04-16,Bk,hco3Sx,NA
MOAB_011,2016-04-16,Bk,kSatx,NA
MOAB_011,2016-04-16,Bk,mgSatx,NA
MOAB_011,2016-04-16,Bk,naSatx,NA
MOAB_011,2016-04-16,Bk,no2Satx,NA
MOAB_011,2016-04-16,Bk,no3Satx,NA
MOAB_011,2016-04-16,Bk,pSatx,NA
MOAB_011,2016-04-16,Bk,phSp,NA
MOAB_011,2016-04-16,Bk,resist,NA
MOAB_011,2016-04-16,Bk,so4Satx,NA
MOAB_011,2016-04-16,Bk,carbonTot,16.1
MOAB_011,2016-04-16,Bk,nitrogenTot,0.4
MOAB_011,2016-04-16,Bk,ctonRatio,6
MOAB_011,2016-04-16,Bk,estimatedOC,2
MOAB_011,2016-04-16,Bk,sulfurTot,0
MOAB_011,2016-04-16,Bk,alOxalate,0.03
MOAB_011,2016-04-16,Bk,feOxalate,0
MOAB_011,2016-04-16,Bk,mnOxalate,74.8
MOAB_011,2016-04-16,Bk,pOxalate,24.3
MOAB_011,2016-04-16,Bk,siOxalate,0.01
MOAB_011,2016-04-16,Bk,optDensityOxalate,0
MOAB_011,2016-04-16,Bk,alCitDithionate,0
MOAB_011,2016-04-16,Bk,feCitDithionate,0.3
MOAB_011,2016-04-16,Bk,mnCitDithionate,0
MOAB_011,2016-04-16,Bk,siliconCitrateDithionate,NA
MOAB_011,2016-04-16,Bk,acidity,NA
MOAB_011,2016-04-16,Bk,waterRetention15Bar,NA
MOAB_011,2016-04-16,Bk,MehlichIIITotP,NA
MOAB_011,2016-04-16,Bk,Bray1PExtractable,NA
MOAB_011,2016-04-16,Bk,OlsenPExtractable,0.9
MOAB_011,2016-04-16,BCkk,biogeoTopDepth,68
MOAB_011,2016-04-16,BCkk,biogeoBottomDepth,100
MOAB_011,2016-04-16,BCkk,biogeoCenterDepth,84
MOAB_011,2016-04-16,BCkk,airDryOvenDryRatio,1.01
MOAB_011,2016-04-16,BCkk,gypsumConc,NA
MOAB_011,2016-04-16,BCkk,caco3Conc,580
MOAB_011,2016-04-16,BCkk,caNh4d,49.3
MOAB_011,2016-04-16,BCkk,kNh4d,0
MOAB_011,2016-04-16,BCkk,mgNh4d,2.4
MOAB_011,2016-04-16,BCkk,naNh4d,0
MOAB_011,2016-04-16,BCkk,cecdNh4,2.2
MOAB_011,2016-04-16,BCkk,alSatCecd33,NA
MOAB_011,2016-04-16,BCkk,baseSumCecd10,51.7
MOAB_011,2016-04-16,BCkk,bsesatCecd10,100
MOAB_011,2016-04-16,BCkk,ececCecd33,NA
MOAB_011,2016-04-16,BCkk,alKcl,NA
MOAB_011,2016-04-16,BCkk,feKcl,NA
MOAB_011,2016-04-16,BCkk,mnKcl,NA
MOAB_011,2016-04-16,BCkk,phCacl2,7.9
MOAB_011,2016-04-16,BCkk,phH2o,8.6
MOAB_011,2016-04-16,BCkk,ec12pre,0.11
MOAB_011,2016-04-16,BCkk,bSatx,NA
MOAB_011,2016-04-16,BCkk,brSatx,NA
MOAB_011,2016-04-16,BCkk,caSatx,NA
MOAB_011,2016-04-16,BCkk,clSatx,NA
MOAB_011,2016-04-16,BCkk,co3Satx,NA
MOAB_011,2016-04-16,BCkk,ecSatp,NA
MOAB_011,2016-04-16,BCkk,flSatx,NA
MOAB_011,2016-04-16,BCkk,waterSatx,NA
MOAB_011,2016-04-16,BCkk,hco3Sx,NA
MOAB_011,2016-04-16,BCkk,kSatx,NA
MOAB_011,2016-04-16,BCkk,mgSatx,NA
MOAB_011,2016-04-16,BCkk,naSatx,NA
MOAB_011,2016-04-16,BCkk,no2Satx,NA
MOAB_011,2016-04-16,BCkk,no3Satx,NA
MOAB_011,2016-04-16,BCkk,pSatx,NA
MOAB_011,2016-04-16,BCkk,phSp,NA
MOAB_011,2016-04-16,BCkk,resist,NA
MOAB_011,2016-04-16,BCkk,so4Satx,NA
MOAB_011,2016-04-16,BCkk,carbonTot,71.3
MOAB_011,2016-04-16,BCkk,nitrogenTot,0.5
MOAB_011,2016-04-16,BCkk,ctonRatio,4
MOAB_011,2016-04-16,BCkk,estimatedOC,2
MOAB_011,2016-04-16,BCkk,sulfurTot,0.1
MOAB_011,2016-04-16,BCkk,alOxalate,0
MOAB_011,2016-04-16,BCkk,feOxalate,0
MOAB_011,2016-04-16,BCkk,mnOxalate,1
MOAB_011,2016-04-16,BCkk,pOxalate,0
MOAB_011,2016-04-16,BCkk,siOxalate,0
MOAB_011,2016-04-16,BCkk,optDensityOxalate,0.01
MOAB_011,2016-04-16,BCkk,alCitDithionate,0
