plotID,collectDate,nitrogenPercent,cnSampleID,organicCPercent,soil_cn
MOAB_044,2016-07-25,0.03,MOAB_044-M-30.5-5.5-20160725-CN,0.1,3.3333333333333335
MOAB_044,2016-07-25,0.04,MOAB_044-M-35.5-21.5-20160725-CN,0.24,6
MOAB_044,2016-07-25,0.04,MOAB_044-M-35.5-21.5-20160725-CN,0.23,5.75
MOAB_044,2016-07-25,0.04,MOAB_044-M-35.5-21.5-20160725-CN,0.24,6
MOAB_044,2016-07-25,0.04,MOAB_044-M-35.5-21.5-20160725-CN,0.23,5.75
MOAB_044,2016-07-25,0.04,MOAB_044-M-16.5-38.5-20160725-CN,0.82,20.5
MOAB_045,2016-07-25,0.03,MOAB_045-M-8-15-20160725-CN,0.13,4.333333333333334
MOAB_045,2016-07-25,0.03,MOAB_045-M-33-21-20160725-CN,0.19,6.333333333333334
MOAB_045,2016-07-25,0.03,MOAB_045-M-34.5-3.5-20160725-CN,0.2,6.666666666666667
MOAB_047,2016-07-25,0.03,MOAB_047-M-28.5-1.5-20160725-CN,0.21,7
MOAB_047,2016-07-25,0.03,MOAB_047-M-30-30-20160725-CN,0.23,7.666666666666667
MOAB_047,2016-07-25,0.04,MOAB_047-M-7.5-28.5-20160725-CN,0.25,6.25
MOAB_005,2016-07-26,0.04,MOAB_005-M-2.5-36-20160726-CN,0.32,8
MOAB_005,2016-07-26,0.05,MOAB_005-M-33-13.5-20160726-CN,0.24,4.8
MOAB_005,2016-07-26,0.04,MOAB_005-M-35.5-30-20160726-CN,0.37,9.25
MOAB_002,2016-07-26,0.04,MOAB_002-M-3-17-20160726-CN,0.22,5.5
MOAB_002,2016-07-26,0.03,MOAB_002-M-6.5-31-20160726-CN,0.26,8.666666666666668
MOAB_002,2016-07-26,0.03,MOAB_002-M-31-38.5-20160726-CN,0.2,6.666666666666667
MOAB_046,2016-07-26,0.03,MOAB_046-M-15-6.5-20160726-CN,0.17,5.666666666666667
MOAB_046,2016-07-26,0.04,MOAB_046-M-35-13-20160726-CN,0.21,5.25
MOAB_046,2016-07-26,0.04,MOAB_046-M-10-33-20160726-CN,0.18,4.5
