plotID,collectDate,mineral_n_total,sampleID,soilMoisture
MOAB_004,2017-03-27,0.117,MOAB_004-M-19-3.5-20170327,0.06
MOAB_004,2017-03-27,0.251,MOAB_004-M-14.5-39.5-20170327,0.058
MOAB_004,2017-03-27,0.084,MOAB_004-M-35.5-27-20170327,0.055
MOAB_001,2017-03-28,0.117,MOAB_001-M-14-34-20170328,0.073
MOAB_001,2017-03-28,0.047,MOAB_001-M-24.5-36.5-20170328,0.08
MOAB_001,2017-03-28,0.057,MOAB_001-M-25-4-20170328,0.064
MOAB_044,2017-03-28,0.05,MOAB_044-M-7.5-0-20170328,0.078
MOAB_044,2017-03-28,0.051,MOAB_044-M-7-23.5-20170328,0.064
MOAB_044,2017-03-28,0.038,MOAB_044-M-34.5-37-20170328,0.061
MOAB_045,2017-03-28,0.12,MOAB_045-M-4-14.5-20170328,0.077
MOAB_045,2017-03-28,0.066,MOAB_045-M-9-27-20170328,0.075
MOAB_045,2017-03-28,0.09,MOAB_045-M-36-6.5-20170328,0.078
MOAB_046,2017-03-29,0.049,MOAB_046-M-16.5-8.5-20170329,0.077
MOAB_046,2017-03-29,0.053,MOAB_046-M-14.5-37.5-20170329,0.079
MOAB_046,2017-03-29,0.042,MOAB_046-M-37.5-23-20170329,0.073
MOAB_047,2017-03-29,0.053,MOAB_047-M-29-1-20170329,0.072
MOAB_047,2017-03-29,0.055,MOAB_047-M-1-18.5-20170329,0.074
MOAB_047,2017-03-29,0.073,MOAB_047-M-1-25.5-20170329,0.072
MOAB_005,2017-03-30,0.061,MOAB_005-M-31.5-6-20170330,0.064
MOAB_005,2017-03-30,0.06,MOAB_005-M-30-39.5-20170330,0.071
MOAB_005,2017-03-30,0.061,MOAB_005-M-2.5-19-20170330,0.067
MOAB_002,2017-03-30,0.062,MOAB_002-M-19-5.5-20170330,0.065
MOAB_002,2017-03-30,0.053,MOAB_002-M-8.5-38-20170330,0.054
MOAB_002,2017-03-30,0.06,MOAB_002-M-33.5-31.5-20170330,0.063
MOAB_006,2017-03-30,0.113,MOAB_006-M-8-14-20170330,0.044
MOAB_006,2017-03-30,0.038,MOAB_006-M-39.5-5-20170330,0.06
MOAB_006,2017-03-30,0.064,MOAB_006-M-21.5-35-20170330,0.055
MOAB_004,2017-04-11,0.127,MOAB_004-M-19-3.5-20170411,0.062
MOAB_004,2017-04-11,0.06,MOAB_004-M-14.5-39.5-20170411,0.055
MOAB_004,2017-04-11,0.03,MOAB_004-M-35.5-27-20170411,0.07
MOAB_001,2017-04-10,0.049,MOAB_001-M-14-34-20170410,0.061
MOAB_001,2017-04-10,0.076,MOAB_001-M-24.5-36.5-20170410,0.061
MOAB_001,2017-04-10,0.079,MOAB_001-M-25-4-20170410,0.035
MOAB_044,2017-04-11,0.086,MOAB_044-M-7.5-0-20170411,0.07
MOAB_044,2017-04-11,0.075,MOAB_044-M-7-23.5-20170411,0.046
MOAB_044,2017-04-11,0.032,MOAB_044-M-34.5-37-20170411,0.045
MOAB_045,2017-04-11,0.165,MOAB_045-M-4-14.5-20170411,0.038
MOAB_045,2017-04-11,0.049,MOAB_045-M-9-27-20170411,0.053
MOAB_045,2017-04-11,0.022,MOAB_045-M-36-6.5-20170411,0.077
MOAB_046,2017-04-11,0.043,MOAB_046-M-16.5-8.5-20170411,0.034
MOAB_046,2017-04-11,0.064,MOAB_046-M-14.5-37.5-20170411,0.077
MOAB_046,2017-04-11,0.09,MOAB_046-M-37.5-23-20170411,0.068
MOAB_047,2017-04-11,0.047,MOAB_047-M-29-1-20170411,0.058
MOAB_047,2017-04-11,0.107,MOAB_047-M-1-18.5-20170411,0.075
MOAB_047,2017-04-11,0.136,MOAB_047-M-1-25.5-20170411,0.058
MOAB_005,2017-04-10,0.088,MOAB_005-M-31.5-6-20170410,0.063
MOAB_005,2017-04-10,0.106,MOAB_005-M-30-39.5-20170410,0.044
MOAB_005,2017-04-10,0.07,MOAB_005-M-2.5-19-20170410,0.053
MOAB_002,2017-04-10,0.043,MOAB_002-M-19-5.5-20170410,0.057
