#
# Transition date estimate for NEON.D15.ONAQ.DP1.00042
#
# Site: NEON.D15.ONAQ.DP1.00042
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2019
# Final Processing Date: 2020-12-11
# Final Processing Time: 11:05:30
# Spline RMSE gcc_mean: 0.00103
# Spline RMSE gcc_50: 0.00102
# Spline RMSE gcc_75: 0.00119
# Spline RMSE gcc_90: 0.00146
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_90,2017-03-13,2017-03-21,2017-04-13,2017-03-10,2017-03-18,2017-04-10,2017-03-17,2017-03-28,2017-04-15,0.34295,0.34708,0.35414,0.34058,0.36718
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_90,2018-03-26,2018-04-07,2018-04-26,2018-03-25,2018-04-06,2018-04-25,2018-04-01,2018-04-11,2018-04-28,0.344,0.34963,0.3596,0.34034,0.3776
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_75,2017-03-13,2017-03-20,2017-04-13,2017-03-09,2017-03-17,2017-04-10,2017-03-16,2017-03-25,2017-04-15,0.34254,0.3461,0.353,0.34012,0.36453
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_75,2018-03-14,2018-03-31,2018-04-14,2018-03-08,2018-03-28,2018-04-08,2018-03-26,2018-04-03,2018-04-19,0.3421,0.34488,0.35061,0.34008,0.36082
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_75,2019-03-17,2019-03-28,2019-04-09,2019-03-07,2019-03-26,2019-04-06,2019-03-21,2019-03-31,2019-04-11,0.34275,0.34741,0.35693,0.3393,0.37407
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_50,2017-03-12,2017-03-18,2017-04-11,2017-03-09,2017-03-16,2017-04-09,2017-03-16,2017-03-22,2017-04-13,0.34141,0.34429,0.34994,0.33962,0.36007
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_50,2018-03-13,2018-03-31,2018-04-11,2018-03-09,2018-03-26,2018-04-07,2018-03-22,2018-04-03,2018-04-16,0.34127,0.34419,0.34921,0.33946,0.35848
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_50,2019-03-18,2019-03-28,2019-04-09,2019-03-14,2019-03-26,2019-04-06,2019-03-21,2019-03-31,2019-04-10,0.34243,0.3466,0.35538,0.33932,0.37043
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_mean,2017-03-12,2017-03-19,2017-04-12,2017-03-09,2017-03-16,2017-04-10,2017-03-15,2017-03-23,2017-04-14,0.34145,0.34483,0.35042,0.33941,0.36117
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_mean,2018-03-14,2018-03-31,2018-04-11,2018-03-09,2018-03-27,2018-04-07,2018-03-24,2018-04-03,2018-04-17,0.34134,0.34416,0.34915,0.33945,0.35864
