#
# Transition date estimate for NEON.D15.ONAQ.DP1.00042
#
# Site: NEON.D15.ONAQ.DP1.00042
# Veg Type: SH
# ROI ID Number: 1001
# Aggregation period: 1day
# Year min: 2017
# Year max: 2019
# Final Processing Date: 2019-12-28
# Final Processing Time: 15:29:26
# Spline RMSE gcc_mean: 0.00073
# Spline RMSE gcc_50: 0.00072
# Spline RMSE gcc_75: 0.00072
# Spline RMSE gcc_90: 0.00081
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D15.ONAQ.DP1.00042,SH,1001,rising,gcc_90,2017-03-10,2017-03-17,2017-04-12,2017-03-08,2017-03-15,2017-04-06,2017-03-15,2017-03-28,2017-04-14,0.34174,0.34387,0.3483,0.34044,0.35573
NEON.D15.ONAQ.DP1.00042,SH,1001,rising,gcc_90,2018-03-27,2018-03-31,2018-04-24,2018-03-19,2018-03-29,2018-04-19,2018-03-30,2018-04-05,2018-04-26,0.34187,0.34399,0.3477,0.34086,0.35444
NEON.D15.ONAQ.DP1.00042,SH,1001,rising,gcc_90,2019-03-22,2019-04-01,2019-04-16,2019-03-18,2019-03-31,2019-04-14,2019-03-25,2019-04-03,2019-04-18,0.34254,0.34555,0.35239,0.34049,0.36378
NEON.D15.ONAQ.DP1.00042,SH,1001,rising,gcc_75,2017-03-10,2017-03-17,2017-04-11,2017-03-08,2017-03-15,2017-04-06,2017-03-14,2017-03-28,2017-04-13,0.34154,0.34366,0.34769,0.34004,0.35527
NEON.D15.ONAQ.DP1.00042,SH,1001,rising,gcc_75,2018-03-27,2018-03-30,2018-04-21,2018-03-19,2018-03-29,2018-04-18,2018-03-29,2018-04-04,2018-04-26,0.34151,0.34343,0.34728,0.34037,0.35371
NEON.D15.ONAQ.DP1.00042,SH,1001,rising,gcc_75,2019-03-24,2019-04-02,2019-04-18,2019-03-23,2019-04-01,2019-04-14,2019-03-30,2019-04-04,2019-04-19,0.34293,0.346,0.35252,0.34133,0.36275
NEON.D15.ONAQ.DP1.00042,SH,1001,rising,gcc_50,2017-03-09,2017-03-17,2017-04-08,2017-03-08,2017-03-15,2017-04-05,2017-03-13,2017-03-28,2017-04-13,0.34097,0.34322,0.34759,0.33956,0.35477
NEON.D15.ONAQ.DP1.00042,SH,1001,rising,gcc_50,2018-03-26,2018-03-30,2018-04-20,2018-03-19,2018-03-29,2018-04-18,2018-03-29,2018-04-03,2018-04-26,0.3409,0.34303,0.34642,0.33981,0.35297
NEON.D15.ONAQ.DP1.00042,SH,1001,rising,gcc_50,2019-03-24,2019-04-02,2019-04-18,2019-03-23,2019-04-01,2019-04-14,2019-03-27,2019-04-05,2019-04-19,0.34251,0.3454,0.35173,0.34089,0.36169
NEON.D15.ONAQ.DP1.00042,SH,1001,rising,gcc_mean,2017-03-09,2017-03-16,2017-04-07,2017-03-08,2017-03-15,2017-04-05,2017-03-13,2017-03-28,2017-04-13,0.34076,0.34282,0.34707,0.33944,0.35444
NEON.D15.ONAQ.DP1.00042,SH,1001,rising,gcc_mean,2018-03-27,2018-03-30,2018-04-21,2018-03-19,2018-03-29,2018-04-19,2018-03-29,2018-04-05,2018-04-26,0.34103,0.34295,0.34697,0.33987,0.35295
NEON.D15.ONAQ.DP1.00042,SH,1001,rising,gcc_mean,2019-03-24,2019-04-02,2019-04-17,2019-03-23,2019-04-01,2019-04-14,2019-03-26,2019-04-05,2019-04-19,0.34236,0.34529,0.35129,0.34072,0.36165
NEON.D15.ONAQ.DP1.00042,SH,1001,falling,gcc_90,2019-10-06,2019-09-28,2019-09-12,2019-10-08,2019-09-29,2019-09-15,2019-09-30,2019-09-25,2019-09-10,0.34294,0.34568,0.35071,0.3411,0.36022
NEON.D15.ONAQ.DP1.00042,SH,1001,falling,gcc_90,2018-10-04,2018-09-11,2018-08-02,2018-10-06,2018-09-18,2018-08-05,2018-10-03,2018-09-08,2018-07-14,0.3417,0.34372,0.34735,0.34051,0.35355
NEON.D15.ONAQ.DP1.00042,SH,1001,falling,gcc_90,2017-10-21,2017-10-03,2017-09-17,2017-10-29,2017-10-07,2017-09-19,2017-10-09,2017-09-30,2017-09-16,0.34166,0.34435,0.34919,0.34012,0.35744
NEON.D15.ONAQ.DP1.00042,SH,1001,falling,gcc_75,2019-10-09,2019-09-30,2019-09-15,2019-10-10,2019-10-01,2019-09-18,2019-10-07,2019-09-28,2019-09-10,0.34096,0.34367,0.34959,0.33926,0.35952
NEON.D15.ONAQ.DP1.00042,SH,1001,falling,gcc_75,2018-10-04,2018-09-12,2018-07-22,2018-10-06,2018-09-18,2018-08-03,2018-10-03,2018-09-08,2018-07-14,0.34125,0.34315,0.34664,0.34016,0.35306
NEON.D15.ONAQ.DP1.00042,SH,1001,falling,gcc_75,2017-10-21,2017-10-03,2017-09-16,2017-10-29,2017-10-07,2017-09-18,2017-10-17,2017-09-30,2017-09-14,0.34125,0.34382,0.34828,0.33961,0.35676
NEON.D15.ONAQ.DP1.00042,SH,1001,falling,gcc_50,2019-10-09,2019-09-29,2019-09-15,2019-10-10,2019-10-01,2019-09-18,2019-10-07,2019-09-27,2019-09-09,0.34038,0.34363,0.34897,0.33856,0.35903
NEON.D15.ONAQ.DP1.00042,SH,1001,falling,gcc_50,2018-10-04,2018-09-12,2018-07-21,2018-10-05,2018-09-21,2018-08-02,2018-10-03,2018-09-09,2018-07-13,0.34056,0.34277,0.3461,0.33958,0.3525
NEON.D15.ONAQ.DP1.00042,SH,1001,falling,gcc_50,2017-10-21,2017-10-06,2017-09-15,2017-10-30,2017-10-08,2017-09-18,2017-10-12,2017-10-01,2017-09-14,0.34069,0.3432,0.34787,0.33905,0.35594
NEON.D15.ONAQ.DP1.00042,SH,1001,falling,gcc_mean,2019-10-09,2019-09-30,2019-09-16,2019-10-10,2019-10-01,2019-09-18,2019-10-07,2019-09-28,2019-09-11,0.34009,0.34282,0.3487,0.3383,0.35884
NEON.D15.ONAQ.DP1.00042,SH,1001,falling,gcc_mean,2018-10-04,2018-09-12,2018-07-21,2018-10-05,2018-09-19,2018-07-28,2018-10-03,2018-09-08,2018-07-13,0.34046,0.34271,0.34619,0.33964,0.35256
NEON.D15.ONAQ.DP1.00042,SH,1001,falling,gcc_mean,2017-10-21,2017-10-06,2017-09-16,2017-10-29,2017-10-08,2017-09-19,2017-10-11,2017-10-01,2017-09-15,0.3405,0.34297,0.34748,0.33889,0.35563
