#
# Transition date estimate for NEON.D15.ONAQ.DP1.00042
#
# Site: NEON.D15.ONAQ.DP1.00042
# Veg Type: SH
# ROI ID Number: 1001
# Aggregation period: 3day
# Year min: 2017
# Year max: 2019
# Final Processing Date: 2020-12-11
# Final Processing Time: 11:05:21
# Spline RMSE gcc_mean: 0.00073
# Spline RMSE gcc_50: 0.00071
# Spline RMSE gcc_75: 0.00073
# Spline RMSE gcc_90: 8e-04
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D15.ONAQ.DP1.00042,SH,1001,rising,gcc_90,2017-03-12,2017-03-23,2017-04-11,2017-03-09,2017-03-19,2017-04-08,2017-03-15,2017-03-28,2017-04-12,0.34237,0.34491,0.34952,0.34068,0.3578
NEON.D15.ONAQ.DP1.00042,SH,1001,rising,gcc_90,2018-03-24,2018-04-01,2018-04-19,2018-03-20,2018-03-30,2018-04-15,2018-03-28,2018-04-05,2018-04-22,0.3423,0.34427,0.34801,0.34102,0.35488
NEON.D15.ONAQ.DP1.00042,SH,1001,rising,gcc_90,2019-03-23,2019-04-01,2019-04-13,2019-03-21,2019-03-31,2019-04-11,2019-03-26,2019-04-04,2019-04-14,0.3431,0.3463,0.35216,0.34097,0.36332
NEON.D15.ONAQ.DP1.00042,SH,1001,rising,gcc_75,2017-03-11,2017-03-22,2017-04-10,2017-03-09,2017-03-18,2017-04-08,2017-03-14,2017-03-27,2017-04-12,0.34164,0.34429,0.34847,0.34017,0.3567
NEON.D15.ONAQ.DP1.00042,SH,1001,rising,gcc_75,2018-03-24,2018-04-01,2018-04-18,2018-03-20,2018-03-29,2018-04-14,2018-03-27,2018-04-04,2018-04-21,0.34181,0.34377,0.34722,0.34046,0.35397
NEON.D15.ONAQ.DP1.00042,SH,1001,rising,gcc_75,2019-03-22,2019-04-01,2019-04-13,2019-03-20,2019-03-30,2019-04-11,2019-03-25,2019-04-03,2019-04-14,0.34243,0.3458,0.35139,0.34049,0.3618
NEON.D15.ONAQ.DP1.00042,SH,1001,rising,gcc_50,2017-03-10,2017-03-20,2017-04-11,2017-03-08,2017-03-16,2017-04-08,2017-03-13,2017-03-27,2017-04-12,0.34083,0.34351,0.34782,0.33954,0.35544
NEON.D15.ONAQ.DP1.00042,SH,1001,rising,gcc_50,2018-03-22,2018-03-31,2018-04-19,2018-03-18,2018-03-29,2018-04-15,2018-03-26,2018-04-04,2018-04-22,0.34097,0.34292,0.34657,0.33978,0.35314
NEON.D15.ONAQ.DP1.00042,SH,1001,rising,gcc_50,2019-03-21,2019-03-31,2019-04-13,2019-03-19,2019-03-29,2019-04-11,2019-03-24,2019-04-02,2019-04-14,0.34161,0.34486,0.35036,0.33976,0.36055
NEON.D15.ONAQ.DP1.00042,SH,1001,rising,gcc_mean,2017-03-10,2017-03-19,2017-04-11,2017-03-08,2017-03-16,2017-04-08,2017-03-13,2017-03-24,2017-04-12,0.34068,0.3433,0.34755,0.33933,0.35526
NEON.D15.ONAQ.DP1.00042,SH,1001,rising,gcc_mean,2018-03-24,2018-04-01,2018-04-20,2018-03-20,2018-03-29,2018-04-16,2018-03-27,2018-04-05,2018-04-22,0.34113,0.34305,0.34657,0.33985,0.35322
NEON.D15.ONAQ.DP1.00042,SH,1001,rising,gcc_mean,2019-03-21,2019-03-31,2019-04-13,2019-03-19,2019-03-29,2019-04-11,2019-03-24,2019-04-02,2019-04-14,0.3412,0.3446,0.35016,0.33934,0.36049
NEON.D15.ONAQ.DP1.00042,SH,1001,falling,gcc_90,2019-10-11,2019-10-01,2019-09-16,2019-10-15,2019-10-03,2019-09-19,2019-10-08,2019-09-28,2019-09-14,0.34187,0.34465,0.35005,0.33987,0.35994
NEON.D15.ONAQ.DP1.00042,SH,1001,falling,gcc_90,2018-10-06,2018-09-12,2018-07-26,2018-11-07,2018-09-18,2018-08-05,2018-10-05,2018-09-04,2018-07-18,0.34174,0.34381,0.3473,0.3404,0.35412
NEON.D15.ONAQ.DP1.00042,SH,1001,falling,gcc_90,2017-10-24,2017-10-05,2017-09-18,2017-10-29,2017-10-09,2017-09-21,2017-10-16,2017-09-29,2017-09-17,0.34173,0.3442,0.34862,0.3402,0.35653
NEON.D15.ONAQ.DP1.00042,SH,1001,falling,gcc_75,2019-10-11,2019-09-30,2019-09-15,2019-10-15,2019-10-02,2019-09-18,2019-10-07,2019-09-27,2019-09-14,0.3413,0.34413,0.34952,0.33938,0.3592
NEON.D15.ONAQ.DP1.00042,SH,1001,falling,gcc_75,2018-10-03,2018-09-12,2018-07-21,2018-11-05,2018-09-18,2018-07-30,2018-09-26,2018-08-30,2018-06-25,0.34141,0.34339,0.34683,0.34008,0.35353
NEON.D15.ONAQ.DP1.00042,SH,1001,falling,gcc_75,2017-10-24,2017-10-05,2017-09-17,2017-10-28,2017-10-09,2017-09-20,2017-10-16,2017-09-30,2017-09-15,0.34116,0.3436,0.34787,0.33965,0.35569
NEON.D15.ONAQ.DP1.00042,SH,1001,falling,gcc_50,2019-10-13,2019-10-01,2019-09-15,2019-10-16,2019-10-03,2019-09-18,2019-10-09,2019-09-28,2019-09-14,0.34013,0.34303,0.3485,0.33835,0.35803
NEON.D15.ONAQ.DP1.00042,SH,1001,falling,gcc_50,2018-10-03,2018-09-15,2018-07-21,2018-11-05,2018-09-21,2018-07-30,2018-10-02,2018-09-06,2018-06-26,0.34077,0.34272,0.34608,0.33954,0.35252
NEON.D15.ONAQ.DP1.00042,SH,1001,falling,gcc_50,2017-10-24,2017-10-06,2017-09-17,2017-10-29,2017-10-09,2017-09-20,2017-10-17,2017-10-01,2017-09-15,0.34045,0.34281,0.34711,0.33889,0.35501
NEON.D15.ONAQ.DP1.00042,SH,1001,falling,gcc_mean,2019-10-12,2019-10-01,2019-09-16,2019-10-15,2019-10-03,2019-09-19,2019-10-08,2019-09-28,2019-09-14,0.33999,0.34285,0.3483,0.33804,0.35831
NEON.D15.ONAQ.DP1.00042,SH,1001,falling,gcc_mean,2018-09-30,2018-09-12,2018-07-19,2018-11-03,2018-09-19,2018-07-25,2018-09-25,2018-08-27,2018-06-25,0.34094,0.3429,0.34631,0.33962,0.35291
NEON.D15.ONAQ.DP1.00042,SH,1001,falling,gcc_mean,2017-10-25,2017-10-06,2017-09-18,2017-10-30,2017-10-10,2017-09-21,2017-10-16,2017-10-02,2017-09-16,0.3402,0.34271,0.34683,0.3387,0.35476
