siteID,seas,yr,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,totalN,Cl,SO4,Br,hplus,svol,ppt,fullChemLab,daysSample,startDate,lastDate
UT01,ONAQ,1983,6,8,93,0.284,0.062,0.032,0.457,0.832,1.195,0.916,1.372,0.848,-9,0.001,1948.1,6.153,3,28,12/6/83 0:00,1/3/84 0:00
UT01,ONAQ,1984,73,100,91,1.401,0.281,0.163,1.002,3.477,4.501,3.719,2.324,5.058,-9,0.008,32334.5,56.268,28,365,1/3/84 0:00,1/2/85 0:00
UT01,ONAQ,1985,96,100,94,1.629,0.26,0.157,1.041,2.074,3.887,2.489,2.361,3.348,-9,0.01,25036.3,44.882,37,363,1/2/85 0:00,12/31/85 0:00
UT01,ONAQ,1986,80,100,69,2.123,0.305,0.17,1.264,3.72,5.047,4.03,2.946,4.202,-9,0.005,30020.1,70.987,30,364,12/31/85 0:00,12/30/86 0:00
UT01,ONAQ,1987,66,100,59,1.332,0.219,0.124,1.622,3.309,4.277,3.537,3.16,3.264,-9,0.003,14341.5,41.365,25,364,12/30/86 0:00,12/29/87 0:00
UT01,ONAQ,1988,81,100,62,1.071,0.136,0.073,0.469,1.58,2.248,1.735,0.985,1.824,-9,0.001,9336.2,25.199,21,371,12/29/87 0:00,1/3/89 0:00
UT01,ONAQ,1989,92,100,91,3.72,0.247,0.164,2.544,2.096,2.282,2.144,3.033,3.939,-9,0.001,16208.1,27.799,27,364,1/3/89 0:00,1/2/90 0:00
UT01,ONAQ,1990,86,100,90,1.136,0.151,0.096,0.898,2.672,3.144,2.787,1.802,2.712,-9,0.001,15502.4,30.856,28,365,1/2/90 0:00,1/2/91 0:00
UT01,ONAQ,1991,90,98,96,2.051,0.261,0.112,0.879,3.187,3.637,3.298,1.489,3.304,-9,0.002,23943,40.142,30,363,1/2/91 0:00,12/31/91 0:00
UT01,ONAQ,1992,80,100,72,1.139,0.127,0.098,0.588,2.545,2.327,2.503,1.129,2.087,-9,0.001,11365,24.497,30,364,12/31/91 0:00,12/29/92 0:00
UT01,ONAQ,1993,75,100,77,1.636,0.269,0.149,1.621,4.192,5.56,4.513,2.203,4.893,-9,0.002,24682.2,49.729,24,371,12/29/92 0:00,1/4/94 0:00
UT01,ONAQ,1994,84,100,74,0.952,0.126,0.089,0.724,2.816,3.925,3.075,1.27,2.765,-9,0.003,17258,34.134,29,365,1/4/94 0:00,1/4/95 0:00
UT01,ONAQ,1995,91,100,88,3.235,0.484,0.285,4.077,3.443,4.841,3.769,2.909,7.448,-9,0.002,26632,45.247,36,363,1/4/95 0:00,1/2/96 0:00
UT01,ONAQ,1996,98,100,95,2.847,0.295,0.178,2.491,3.052,4.492,3.387,2.852,4.709,-9,0.004,33714,55.6,35,365,1/2/96 0:00,1/1/97 0:00
UT01,ONAQ,1997,90,100,96,0.996,0.134,0.134,0.66,3.519,5.423,3.959,1.496,2.735,-9,0.008,30921.9,51.596,38,363,1/1/97 0:00,12/30/97 0:00
UT01,ONAQ,1998,90,100,92,1.896,0.225,0.157,1.146,3.927,6.634,4.55,2.073,3.505,-9,0.008,42035.8,68.185,41,364,12/30/97 0:00,12/29/98 0:00
UT01,ONAQ,1999,96,100,99,1.338,0.17,0.128,1.262,2.865,3.995,3.128,1.682,2.415,-9,0.002,24887.4,37.791,29,365,12/29/98 0:00,12/29/99 0:00
UT01,ONAQ,2000,96,100,95,1.131,0.13,0.103,0.975,2.997,4.032,3.239,1.579,2.53,-9,0.002,23561.8,38.222,35,370,12/29/99 0:00,1/2/01 0:00
UT01,ONAQ,2001,92,100,82,0.598,0.079,0.063,0.5,2.391,2.954,2.525,0.853,1.434,-9,0.002,17393,31.458,30,364,1/2/01 0:00,1/1/02 0:00
UT01,ONAQ,2002,78,91,86,4.716,0.411,0.252,3.288,2.161,3.098,2.379,3.543,4.543,-9,0.001,13713.9,27.419,24,364,1/1/02 0:00,12/31/02 0:00
UT01,ONAQ,2003,52,69,72,0.667,0.075,0.072,0.489,1.792,2.016,1.848,0.795,0.986,-9,0.001,0,25.743,17,364,12/31/02 0:00,12/30/03 0:00
UT01,ONAQ,2004,81,100,81,2.137,0.224,0.157,0.919,3.284,3.894,3.431,1.485,2.375,-9,0.001,21715.6,47.599,31,364,12/30/03 0:00,12/28/04 0:00
UT01,ONAQ,2005,86,100,90,1.578,0.203,0.156,1.226,4.029,4.936,4.245,1.808,3.06,-9,0.004,39169,67.71,33,371,12/28/04 0:00,1/3/06 0:00
UT01,ONAQ,2006,88,100,86,3.902,0.439,0.246,3.326,2.984,4.056,3.235,3.313,4.399,-9,0.002,24733.3,43.943,32,364,1/3/06 0:00,1/2/07 0:00
UT01,ONAQ,2007,91,100,92,1.227,0.161,0.14,0.901,2.228,3.011,2.412,1.087,1.732,-9,0.001,18091.3,30.442,27,365,1/2/07 0:00,1/2/08 0:00
UT01,ONAQ,2008,90,100,86,1.207,0.143,0.094,0.938,2.526,3.159,2.676,1.399,1.931,-9,0.002,18394.6,34.985,30,363,1/2/08 0:00,12/30/08 0:00
UT01,ONAQ,2009,85,100,78,1.227,0.127,0.086,1.231,2.679,2.932,2.744,1.791,1.673,-9,0.002,19854.6,40.897,31,364,12/30/08 0:00,12/29/09 0:00
UT01,ONAQ,2010,82,100,90,1.066,0.121,0.069,0.84,2.534,2.521,2.538,1.36,1.261,-9,0.003,19194.4,43.317,31,365,12/29/09 0:00,12/29/10 0:00
UT01,ONAQ,2011,79,100,95,1.663,0.186,0.117,1.408,2.73,2.486,2.683,1.96,2.082,-9,0.004,25141.9,53.119,32,370,12/29/10 0:00,1/3/12 0:00
UT01,ONAQ,2012,77,100,87,5.004,0.443,0.259,4.749,2.483,2.634,2.525,6.677,3.378,-9,0.002,21394.9,41.808,25,364,1/3/12 0:00,1/1/13 0:00
UT01,ONAQ,2013,96,100,97,1.915,0.265,0.172,3.353,3.021,3.449,3.127,5.424,2.21,-9,0.002,17449.6,30.15,31,364,1/1/13 0:00,12/31/13 0:00
UT01,ONAQ,2014,94,100,91,2.228,0.248,0.208,4.228,4.421,4.094,4.36,4.292,5.436,-9,0.002,28950.1,49.505,33,364,12/31/13 0:00,12/30/14 0:00
UT01,ONAQ,2015,94,100,98,4.651,0.416,0.269,3.678,4.259,3.668,4.138,5.096,3.436,-9,0.002,30104.1,47.269,36,364,12/30/14 0:00,12/29/15 0:00
UT01,ONAQ,2016,94,100,94,3.237,0.373,0.257,3.365,4.436,3.983,4.347,5.011,2.539,-9,0.003,36803.4,61.189,34,371,12/29/15 0:00,1/3/17 0:00
UT01,ONAQ,2017,85,100,95,5.331,0.55,0.383,4.419,5.074,5.262,5.131,6.09,4.767,-9,0.005,41549.1,69.598,31,364,1/3/17 0:00,1/2/18 0:00
UT01,ONAQ,2018,86,98,98,3.041,0.347,0.161,3.534,2.902,2.654,2.854,4.766,2.676,-9,0.001,22587.4,36.551,29,364,1/2/18 0:00,1/1/19 0:00
UT09,MOAB,1997,13,13,100,0.115,0.011,0.003,0.011,0.022,0.17,0.055,0.013,0.117,-9,0.002,1456,2.22,4,364,11/11/97 0:00,12/30/97 0:00
UT09,MOAB,1998,90,100,94,0.438,0.066,0.029,0.093,0.315,1.853,0.664,0.154,1.395,-9,0.021,13684.8,22.681,33,364,12/30/97 0:00,12/29/98 0:00
UT09,MOAB,1999,94,100,90,0.986,0.132,0.309,0.125,0.354,2.701,0.885,0.484,1.388,-9,0.012,13826.9,24.959,23,364,12/29/98 0:00,12/28/99 0:00
UT09,MOAB,2000,89,100,84,0.675,0.085,0.026,0.072,0.3,2.623,0.825,0.133,1.132,-9,0.021,9787.8,18.5,31,371,12/28/99 0:00,1/2/01 0:00
UT09,MOAB,2001,96,100,97,0.708,0.082,0.036,0.098,0.47,2.76,0.989,0.169,1.416,-9,0.021,14346.5,22.188,25,364,1/2/01 0:00,1/1/02 0:00
UT09,MOAB,2002,88,100,77,1.77,0.189,0.057,0.177,0.617,2.382,1.018,0.259,1.415,-9,0.003,8155.4,16.727,23,364,1/1/02 0:00,12/31/02 0:00
UT09,MOAB,2003,92,98,95,0.847,0.095,0.03,0.071,0.604,2.449,1.022,0.129,1.11,-9,0.007,10848.6,17.647,26,364,12/31/02 0:00,12/30/03 0:00
UT09,MOAB,2004,81,100,74,1.046,0.127,0.096,0.239,0.542,3.455,1.202,0.314,1.98,-9,0.025,7217.5,23.457,24,364,12/30/03 0:00,12/28/04 0:00
UT09,MOAB,2005,91,100,93,0.832,0.108,0.055,0.108,0.543,2.356,0.954,0.182,1.381,-9,0.017,19118.2,30.833,28,371,12/28/04 0:00,1/3/06 0:00
UT09,MOAB,2006,87,100,91,1.684,0.194,0.079,0.214,0.811,3.236,1.361,0.247,1.964,-9,0.011,20355.5,32.958,29,364,1/3/06 0:00,1/2/07 0:00
UT09,MOAB,2007,94,100,96,0.773,0.095,0.054,0.111,0.525,2.663,1.01,0.175,1.079,-9,0.015,14649.5,23.652,24,364,1/2/07 0:00,1/1/08 0:00
UT09,MOAB,2008,88,100,91,0.983,0.128,0.048,0.116,0.561,2.636,1.031,0.162,1.294,-9,0.009,12285.6,21.002,22,364,1/1/08 0:00,12/30/08 0:00
UT09,MOAB,2009,87,100,58,2.155,0.166,0.128,0.253,0.433,1.64,0.707,0.263,2.064,-9,0.004,6384.1,15.647,20,364,12/30/08 0:00,12/29/09 0:00
UT09,MOAB,2010,79,100,86,1.335,0.175,0.049,0.115,0.561,2.445,0.988,0.164,1.11,-9,0.012,14461,28.766,26,364,12/29/09 0:00,12/28/10 0:00
UT09,MOAB,2011,91,100,95,2.068,0.218,0.056,0.192,0.78,2.497,1.17,0.192,1.637,-9,0.003,15876.3,26.619,29,371,12/28/10 0:00,1/3/12 0:00
UT09,MOAB,2012,87,100,83,1.349,0.137,0.042,0.117,0.462,1.625,0.726,0.139,0.798,-9,0.006,9209.6,19.812,23,363,1/3/12 0:00,12/31/12 0:00
UT09,MOAB,2013,88,100,92,1.906,0.131,0.052,0.138,0.603,1.95,0.909,0.171,1.098,-9,0.009,13032.3,23.47,24,365,12/31/12 0:00,12/31/13 0:00
UT09,MOAB,2014,98,100,95,1.261,0.124,0.055,0.16,0.823,2.126,1.12,0.193,1.156,-9,0.006,16945.8,27.534,26,364,12/31/13 0:00,12/30/14 0:00
UT09,MOAB,2015,96,100,98,1.444,0.174,0.074,0.174,0.972,2.76,1.379,0.302,1.428,-9,0.018,26274.4,41.377,33,364,12/30/14 0:00,12/29/15 0:00
