plotID,subplotID,year,nspp_native,nspp_exotic,nspp_unk,shannon_native,shannon_exotic,shannon_unk,cover_native,cover_exotic,cover_unk,rel_cover_native,rel_cover_exotic,rel_cover_unk,shannon_total,nspp_total,rc_Poaceae,rc_exotic_Poaceae,cover_exotic_Poaceae,cover_Poaceae,rc_native_Poaceae,rc_Bromus_tectorum,cover_Bromus_tectorum,site
JORN_001,31,2015,15,0,0,2.441214529106035,0,0,10,0,0,1,0,0,2.441214529106035,14,0.35,0,0,3.5,0.35,0,0,JORN
JORN_001,31,2016,21,3,0,2.885082981228065,0.6931471805599453,0,13.5,1,0,0.9310344827586207,0.06896551724137931,0,2.984869799332711,22,0.3103448275862069,0,0,4.5,0.3103448275862069,0,0,JORN
JORN_001,31,2017,21,1,1,2.6956837208768705,0,0,15.5,0.5,0.5,0.9393939393939394,0.030303030303030304,0.030303030303030304,2.8029497435314332,22,0.24242424242424243,0,0,4,0.24242424242424243,0,0,JORN
JORN_001,31,2018,11,0,1,2.2718685126965625,0,0,5.5,0,0.5,0.9166666666666666,0,0.08333333333333333,2.3693821196946763,11,0.5833333333333334,0,0,3.5,0.5,0,0,JORN
JORN_001,31,2019,1,0,0,0,0,0,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,JORN
JORN_001,32,2015,12,0,0,1.0734420609947175,0,0,54,0,0,1,0,0,1.0734420609947175,11,0.06481481481481481,0,0,3.5,0.06481481481481481,0,0,JORN
JORN_001,32,2016,17,0,0,1.1035816741906197,0,0,52,0,0,1,0,0,1.1035816741906197,16,0.038461538461538464,0,0,2,0.038461538461538464,0,0,JORN
JORN_001,32,2017,19,1,1,1.1534070616806185,0,0,38.5,0.5,0.5,0.9746835443037974,0.012658227848101266,0.012658227848101266,1.2598190710325146,20,0.08860759493670886,0,0,3.5,0.08860759493670886,0,0,JORN
JORN_001,32,2018,9,0,1,0.9425086583095997,0,0,48,0,0.5,0.9896907216494846,0,0.010309278350515464,0.9902099972333755,9,0.041237113402061855,0,0,2,0.030927835051546393,0,0,JORN
JORN_001,32,2019,4,0,0,0.6415082861254431,0,0,29,0,0,1,0,0,0.6415082861254431,3,0,0,0,0,0,0,0,JORN
JORN_001,40,2015,13,0,0,1.383544037450474,0,0,27.5,0,0,1,0,0,1.383544037450474,12,0.2727272727272727,0,0,7.5,0.2727272727272727,0,0,JORN
